input_store_id,input_store_name,input_address,matched_foody_url,crawl_status,error,restaurant_id,name,url,title_page,meta_description,address,city,district,area,lat,lng,phone,website,price_min,price_max,avg_rating,total_review,total_view,brand_name,access_guide,meta_keywords,categories,cuisines,audiences,wifi,opening_hours,rating_quality,rating_position,rating_service,rating_price,rating_space
111026,Cơm Ngon Hà Nội - Bà Triệu,"203 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/com-ngon-ha-noi-ngo-tu-do,ok,,1053975.0,Cơm Ngon Hà Nội - Ngõ Tự Do,https://www.foody.vn/ha-noi/com-ngon-ha-noi-ngo-tu-do,"Cơm Ngon Hà Nội - Ngõ Tự Do ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Cơm Ngon Hà Nội - Ngõ Tự Do - Quán ăn - Món Việt tại 111Y9 Khu Tập Thể Đại Học Kinh Tế Quốc Dân, Ngõ Tự Do, P. Đồng Tâm, Quận Hai Bà Trưng, Hà Nội. Giá bình quân đầu người 25.000đ - 65.000đ","111Y9 Khu Tập Thể Đại Học Kinh Tế Quốc Dân, Ngõ Tự Do, P. Đồng Tâm",Hà Nội,Quận Hai Bà Trưng,Đại Học Bách Khoa,20.998196,105.846676,,,25000.0,65000.0,0.0,0.0,74.0,Cơm Ngon Hà Nội - HN,,"cơm ngon hà nội, quán cơm ngõ tự do, quán cơm đường trần đại nghĩa, quán cơm quận hai bà trưng, cơm văn phòng ngõ tự do, cơm văn phòng đường trần đại nghĩa, cơm văn phòng quận hai bà trưng",Quán ăn,Món Việt,Gia đình|Nhóm hội|Giới văn phòng,,DOW=0 10:0 - 20:0,0.0,0.0,0.0,0.0,0.0
113989,"Đi Ăn Chay Đi - Cơm Chay, Bún & Bánh Mì Chay - 57 Chùa Liên Phái","57 Ngõ Chùa Liên Phái, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/di-an-chay-di-com-chay-bun-pho-mien-banh-mi-chay-57-chua-lien-phai,ok,,1240229.0,"Đi Ăn Chay Đi - Cơm Chay, Bún Phở Miến & Bánh Mì Chay - 57 Chùa Liên Phái",https://www.foody.vn/ha-noi/di-an-chay-di-com-chay-bun-pho-mien-banh-mi-chay-57-chua-lien-phai,"Đi Ăn Chay Đi - Cơm Chay, Bún Phở Miến & Bánh Mì Chay - 57 Chùa Liên Phái ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Đi Ăn Chay Đi - Cơm Chay, Bún Phở Miến & Bánh Mì Chay - 57 Chùa Liên Phái - Ăn chay tại 57 Ngõ Chùa Liên Phái, P. Cầu Dền, Quận Hai Bà Trưng, Hà Nội","57 Ngõ Chùa Liên Phái, P. Cầu Dền",Hà Nội,Quận Hai Bà Trưng,,21.0050195,105.8494775,,,0.0,0.0,0.0,0.0,30.0,,,"món chay, cơm chay, phở chay, bún chay, miến chay",Ăn chay,,,,DOW=0 9:0 - 21:0,0.0,0.0,0.0,0.0,0.0
11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,"15 Ngõ 75 Đường Giải Phóng, Đồng Tâm, Hai Bà Trưng, Hà Nội, Việt Nam",https://www.foody.vn/ha-noi/thien-truong-pho-co-com-ga-xoi-mam-giai-phong,ok,,1135528.0,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,https://www.foody.vn/ha-noi/thien-truong-pho-co-com-ga-xoi-mam-giai-phong,"Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng - Quán ăn tại 15 Ngõ 75 Giải Phóng, Quận Hai Bà Trưng, Hà Nội. Giá bình quân đầu người 30.000đ - 50.000đ",15 Ngõ 75 Giải Phóng,Hà Nội,Quận Hai Bà Trưng,,21.002731,105.842514,,,30000.0,50000.0,0.0,0.0,72.0,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm,,"thiên trường, cơm gà",Quán ăn,,,,DOW=0 8:0 - 22:0,0.0,0.0,0.0,0.0,0.0
117526,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,"40 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/bep-be-beu-com-banh-mi-nuong-trung-hoa-le-thanh-nghi,ok,,1196853.0,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị,https://www.foody.vn/ha-noi/bep-be-beu-com-banh-mi-nuong-trung-hoa-le-thanh-nghi,"Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa - Lê Thanh Nghị - Quán ăn tại 40 Lê Thanh Nghị, Quận Hai Bà Trưng, Hà Nội",40 Lê Thanh Nghị,Hà Nội,Quận Hai Bà Trưng,,21.0034151,105.8493944,,,0.0,0.0,0.0,0.0,25.0,Bếp Bé Bếu - Cơm & Bánh Mì Nướng Trung Hoa,,,Quán ăn,,,,DOW=0 10:0 - 21:30,0.0,0.0,0.0,0.0,0.0
120238,Rosier Fresh Tea & Coffee - Đoàn Trần Nghiệp,"25 Đoàn Trần Nghiệp, Phường Hai Bà Trưng, Hà Nội",https://www.foody.vn/ha-noi/tra-sua-rosier-fresh-tea-coffee-doan-tran-nghiep,ok,,1267950.0,Trà Sữa Rosier - Fresh Tea & Coffee - Đoàn Trần Nghiệp,https://www.foody.vn/ha-noi/tra-sua-rosier-fresh-tea-coffee-doan-tran-nghiep,"Trà Sữa Rosier - Fresh Tea & Coffee - Đoàn Trần Nghiệp ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Trà Sữa Rosier - Fresh Tea & Coffee - Đoàn Trần Nghiệp - Café/Dessert tại 25 Đoàn Trần Nghiệp, P. Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","25 Đoàn Trần Nghiệp, P. Lê Đại Hành",Hà Nội,Quận Hai Bà Trưng,,21.01199,105.84819,,,0.0,0.0,0.0,0.0,3.0,Rosier - Tea & Coffee,,"Trà Sữa Rosier, Fresh Tea & Coffe. Coffee. Trà Sữa.Cà Phê. Trà Đào",Café/Dessert,,,,DOW=0 7:0 - 22:0,0.0,0.0,0.0,0.0,0.0
125252,Linh Tinh - Coffee & Trà Chanh - Nguyễn Hiền,"Số 2 Nguyễn Hiền, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/chill-tiem-tra-chanh-nguyen-hien,ok,,985311.0,Chill - Tiệm Trà Chanh - Nguyễn Hiền,https://www.foody.vn/ha-noi/chill-tiem-tra-chanh-nguyen-hien,"Chill - Tiệm Trà Chanh - Nguyễn Hiền ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Chill - Tiệm Trà Chanh - Nguyễn Hiền - Café/Dessert - Món Việt tại 102 K12 Tập Thể Bách Khoa, Nguyễn Hiền, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội. Giá bình quân đầu người 10.000đ - 30.000đ","102 K12 Tập Thể Bách Khoa, Nguyễn Hiền, P. Bách Khoa",Hà Nội,Quận Hai Bà Trưng,,21.001373,105.847953,,,10000.0,30000.0,0.0,0.0,48.0,,,"chill, trà chanh chill, chill định công, quán trà chanh, tiệm trà chanh, trà chanh định công, ăn vặt định công",Café/Dessert,Món Việt,Cặp đôi|Nhóm hội,,DOW=0 8:0 - 23:0,0.0,0.0,0.0,0.0,0.0
129518,Rosier Fresh Tea & Coffee - Lê Thanh Nghị,"117 Lê Thanh Nghị, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/tra-sua-rosier-fresh-tea-coffee-le-thanh-nghi,ok,,1153809.0,Trà Sữa Rosier - Fresh Tea & Coffee - Lê Thanh Nghị,https://www.foody.vn/ha-noi/tra-sua-rosier-fresh-tea-coffee-le-thanh-nghi,"Trà Sữa Rosier - Fresh Tea & Coffee - Lê Thanh Nghị ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Trà Sữa Rosier - Fresh Tea & Coffee - Lê Thanh Nghị - Café/Dessert tại 117 Lê Thanh Nghị, Quận Hai Bà Trưng, Hà Nội. Giá bình quân đầu người 20.000đ - 80.000đ",117 Lê Thanh Nghị,Hà Nội,Quận Hai Bà Trưng,,21.00168,105.84329,,,20000.0,80000.0,0.0,0.0,116.0,Rosier - Tea & Coffee,,"Rosier - Fresh Tea & Coffee, Trà Sữa, Coffee, Café, Trà Sữa Rosier",Café/Dessert,,,,DOW=0 8:0 - 22:0,0.0,0.0,0.0,0.0,0.0
129860,You Tea - Trần Đại Nghĩa,"75 Trần Đại Nghĩa, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/you-tea-75-tran-dai-nghia,ok,,1278376.0,You Tea - 75 Trần Đại Nghĩa,https://www.foody.vn/ha-noi/you-tea-75-tran-dai-nghia,"You Tea - 75 Trần Đại Nghĩa ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","You Tea - 75 Trần Đại Nghĩa - Café/Dessert tại 75 Trần Đại Nghĩa, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội","75 Trần Đại Nghĩa, P. Bách Khoa",Hà Nội,Quận Hai Bà Trưng,,21.0062451,105.8458945,,,0.0,0.0,0.0,0.0,3.0,,,"You Tea, 75 Trần Đại Nghĩa",Café/Dessert,,,,DOW=0 8:0 - 22:0,0.0,0.0,0.0,0.0,0.0
130783,Bún Bò Huế Cố Đô 1 - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/bun-bo-hue-co-do-1,ok,,1276010.0,Bún Bò Huế - Cố Đô 1,https://www.foody.vn/ha-noi/bun-bo-hue-co-do-1,"Bún Bò Huế - Cố Đô 1 ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Bún Bò Huế - Cố Đô 1 - Ăn vặt/vỉa hè tại 10 Tạ Quang Bửu, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội","10 Tạ Quang Bửu, P. Bách Khoa",Hà Nội,Quận Hai Bà Trưng,,21.0037791,105.8467271,,,0.0,0.0,0.0,0.0,5.0,,,"bún bò , bún bò huế , bún bò , bún bò giò , bún bò móng giò , bún sườn",Ăn vặt/vỉa hè,,,,DOW=0 6:0 - 23:59,0.0,0.0,0.0,0.0,0.0
132692,Ghé Coffee - Cà Phê Mang Đi - Tạ Quang Bửu,"Số 10 Tạ Quang Bửu, Phường Bạch Mai, Hà Nội",https://www.foody.vn/ha-noi/sacombank-ta-quang-buu,ok,,233770.0,SacomBank - Tạ Quang Bửu,https://www.foody.vn/ha-noi/sacombank-ta-quang-buu,"SacomBank - Tạ Quang Bửu ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","SacomBank - Tạ Quang Bửu - Bank - ATM tại 10 Tạ Quang Bửu, Quận Hai Bà Trưng, Hà Nội",10 Tạ Quang Bửu,Hà Nội,Quận Hai Bà Trưng,Đại Học Bách Khoa,21.005191,105.847064,,,0.0,0.0,0.0,0.0,41.0,,Từ ngã 3 Đại Cồ Việt - Tạ Quang Bửu đi vào Tạ Quang Bửu khoảng 200m,"SacomBank, SacomBank tạ quang bửu, ngân hàng sacombank, chi nhánh sacom bank, phòng giao dịch sacombank, phòng giao dịch sacombank tạ quang bửu, ngân hàng khu tạ quang bửu",Bank - ATM,,Gia đình|Giới văn phòng,,DOW=0 7:30 - 17:0,0.0,0.0,0.0,0.0,0.0
