restaurant_id,restaurant_name,source,matched_terms_text,latitude,longitude,distance_m,distance_km,address,rating,review_count,price_min,price_max,categories_text,opening_hours,delivery_time,image_url,menu_count,comment_count,comments_list
59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,befood,bún chả | phở,21.00046921,105.8375168,984.84,0.985,"35 Ngõ 102, Trường Chinh, Phương Mai, Đống Đa, Hà Nội",3.9,18,45000,60000,Món Bún | Món Phở,10:00-14:30,30,https://media.be.com.vn/bizops/image/d96587f3-f4d9-11f0-b67e-9aaf2a798701/original,8,7,"[""đũa mốc , chả có 5 miếng , trải nhiệm rất tệ, Không đảm bảo vệ sinh"", ""Đóng gói tốt, Đáng đồng tiền"", ""Normal"", ""không có nước chấm"", ""50k mà được có mấy miếng ????"", ""chả băm ok chả miếng thì hơi chán, giá không rẻ nhưng thịt dai và có phần hơi bèo nhèo, ai fan thịt ba chỉ thì không ưng nổi ?"", ""cơm dở""]"
135569,Cơm Bò Ngon - Trường Chinh,befood,cơm | gà rán,20.9967308,105.8421097,1000.22,1,"58D Ngõ 5 Trường Chinh, Phường Tương Mai, Hà Nội",0,0,13000,150000,NHÓM CƠM NHẬT & CƠM CHIÊN XÙ (MÓN CHÍNH) | NHÓM CƠM CARI NHẬT (CURRY RICE) | topping,09:00-23:59,3,https://media.be.com.vn/bizops/image/2063c121-4a00-11f1-b67e-9aaf2a798701/original,11,0,[]
128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,befood,cơm | phở,21.01683044,105.8477783,1321.99,1.322,"Số 1 Nguyễn Đình Chiểu, Phường Hai Bà Trưng, Hà Nội",4.9,10,10000,70000,món phở | món bún | miến | Món ăn thêm | cơm,06:00-17:15,4,https://media.be.com.vn/bizops/image/244fb42b-f804-11f0-a167-cadcd99bf8b0/original,16,3,"[""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""ăn cũng ok nhiều topping nhưng phần đặc biệt lại ko có trứng non?"", ""thiếu trứng cút nhà shop""]"
94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,befood,bánh cuốn | bún chả,20.99523926,105.8544998,1435.87,1.436,"198 Minh Khai, Phường Tương Mai , Hà Nội",4.7,31,10000,100000,Menu,06:00-23:59,30,https://media.be.com.vn/bizops/image/604e9210-7bf1-11ef-b510-32fa1af43075/original,20,5,"[""Sạch sẽ, Đóng gói tốt, Ngon xỉu, Đáng đồng tiền"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Ngon xỉu"", ""Đáng đồng tiền"", ""Không đảm bảo vệ sinh""]"
28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,befood,cơm | phở,21.00131989,105.8601379,1567.92,1.568,"Kiot 16A Quỳnh Mai, Quỳnh Mai, Hai Bà Trưng, Hà Nội",4.7,173,20000,185000,các món xào | cơm rang | các món tần ngải cứu | các món chan | cháo | các món trộn | các món ăn thêm | Món Đang Giảm | đồ uống,16:00-23:59,30,https://media.be.com.vn/bizops/image/981b0eee-5042-11ed-83ea-ea0c64380cfd/original,62,5,"[""Đáng đồng tiền, Ngon xỉu"", ""Sạch sẽ"", ""Đáng đồng tiền, Đóng gói tốt, Sạch sẽ, Ngon xỉu"", ""Óc hầm lá ngải quá mặn, cháo tim dai và lá thơm nên để bên ngoài lúc ăn khách tự cho vào sau, Không hợp khẩu vị"", ""nấu thế này thực sự khó ăn!, Không hợp khẩu vị""]"
117760,OK Cơm Gà - Trương Định,befood,cơm | gà rán,20.99132919,105.8506393,1620.3,1.62,"Số 52 Ngõ 129 Trương Định, Phường Tương Mai, Hà Nội",4.7,7,10000,340000,Cơm Gà | Gà Rán | Cơm Trắng | Đồ Uống | Combo Gà Rán,17:30-23:30,5,https://media.be.com.vn/bizops/image/6e538dc5-80a0-11f0-8021-922c9d42c616/original,19,1,"[""Không hợp khẩu vị""]"
33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,befood,cơm | phở,21.00110054,105.8611984,1680.52,1.681,"Kiot 8 Quỳnh Mai, Phường Bạch Mai, Hồ Chí Minh",4.5,61,17000,220000,Cơm Rang | Phở Xào | Mì Xào | Phở - Bún - Miến | Cháo | Đồ Khác | Combo Ăn Đôi,17:45-23:59,30,https://media.be.com.vn/bizops/image/3d7f90c1-00b3-11f1-a167-cadcd99bf8b0/original,31,9,"[""❤️, Đóng gói tốt"", ""Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt"", ""Đóng gói tốt"", ""Khá ngon"", ""phở xào quá nhiều mỡ, nếu ít mỡ hoặc ko có mỡ thì sẽ ngon hơn rất nhiều, mình mong quán sẽ giúp kinh nghiệm cho lần sau để những món ăn của quán làm có thể ngon hơn nữa, Khá ngon"", ""mình đã ghi chú cho quán cho ít mỡ thôi nhưng khi ăn phở xào quá nhiều mỡ, Không làm đúng ghi chú"", ""Nấu như cám lợn, k có lần thứ 2, phở xào toàn nước nát bét"", ""em ko sao, shop 1 sao :))) note ko hành ko rau, ko những ko làm theo note mà còn rất nhiều hành 🙂"", ""đóng gói cẩu thả đến nơi là đổ hết ra túi nilong nếu ko ấn nắp chặt thì đừng để hộp nữa bực mình""]"
33749,Phở Bò 288 - Phở Bò & Cơm Rang - Minh Khai,befood,cơm | phở,20.99505997,105.8600922,1875.26,1.875,"288 Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",4.6,27,6000,350000,Combo | Menu,06:30-13:30,30,https://media.be.com.vn/bizops/image/af8b25a2-e9e8-11f0-8b11-e6e7ca75c48c/original,27,5,"[""Ngon xỉu"", ""Đáng đồng tiền"", ""phở ăn ok mà làm sai hết món, Sai/Thiếu món"", ""mình bỏ thêm tiền để cho thêm cái túi zip quán lại cho vào túi bóng"", ""đặt 2 phở 1 cơm giao 1 phở 1 cơm""]"
22455,Phở Cuốn Hoa Lan - Trần Hưng Đạo,befood,bánh cuốn | phở,21.01988983,105.8566208,2002.13,2.002,"24 Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",4.8,272,35000,140000,Phở | Mỳ | Bún | Cơm | Tráng Miệng | Ăn Thêm,09:00-20:45,30,https://media.be.com.vn/bizops/image/544c93c9-e917-11f0-8b11-e6e7ca75c48c/original,31,5,"[""giao phở mà để nước chung như này quả là thằng bán đại ngu!😩, Đóng gói chưa tốt"", ""Ngon xỉu"", ""Sạch sẽ, Đáng đồng tiền, Ngon xỉu, Đóng gói tốt"", ""80k 1 suất cơm sườn ntn, coi có giống ảnh mô tả chút nào không? hỏi thật bán như thế này có thấy cắn rứt lương tâm không ạ????"", ""nay ăn thấy thịt bò dai và nhiều gân mỡ quá. phở chiên trứng hơi ngấm dầu""]"
14976,Cơm Sườn Cay HiMC - Hà Kế Tấn,befood,cơm | gà rán,20.9874897,105.8368607,2159.6,2.16,"169A Hà Kế Tấn, Phường Phương Liệt, Thanh Xuân, Hà Nội, Việt Nam",4.9,1123,10000,420000,MÓN MỚI - CÀ RI NHẬT | DEAL BEFOOD TRỢ GIÁ SL CÓ HẠN | COMBO CẶP ĐÔI GIÁ HỜI | CƠM SƯỜN | CHỈ TỪ 40k/ XUẤT TEAM VĂN PHÒNG | 100% GÀ TƯƠI - MIỄN PHÍ ĐỔI TRẢ ❤️ | ĐỒ UỐNG & ĂN VẶT | GÀ TƯƠI 100% ĐẪM SỐT | ĐỒ THÊM NO NÊ ❤️ | CANH & RAU | TRI ÂN KHÁCH HÀNG,09:30-22:30,30,https://media.be.com.vn/bizops/image/0ac5b47b-3cec-11ef-ba6d-1220605d9522/original,46,5,"[""Đáng đồng tiền, Đóng gói tốt, Sạch sẽ, Ngon xỉu"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Đóng gói tốt, Ngon xỉu, Đáng đồng tiền, Sạch sẽ"", ""ăn nhiều lần r nhma vẫn cứ có vài lần bị kh đúng ý, nước thì kh có ống hút, gọi thêm rong biển thì giao thiếu rong biển?, Sai/Thiếu món"", ""quán quá ok có thạch dai tặng đúng cơm thì 10đ""]"
118507,"Bánh Cuốn, Bún Trộn Đức Anh - Trần Hữu Tước",befood,bánh cuốn | bún chả,21.01745033,105.8294678,2163.74,2.164,"1 Trần Hữu Tước, Phường Đống Đa, Thành Phố Hà Nội",4.7,7,40000,55000,bún | bánh cuốn,07:00-20:00,7,https://media.be.com.vn/bizops/image/f6876725-857a-11f0-b84b-3a4f2a37a94e/original,5,6,"[""4 miếng chả, 5-6 thanh bánh cuốn, hành phi được đóng riêng vào túi zip, có rau ăn kèm nhưng mình không ăn được loại đó nên không bỏ vô bát, nước mắm để vào ly nhựa nhỏ riêng. Bánh cuốn nhân nhiều, Ngon xỉu, Đóng gói tốt, Sạch sẽ"", ""rất ngon, bánh nóng, nước chấm vừa vị, Ngon xỉu, Đáng đồng tiền"", ""Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ"", ""Sạch sẽ, Đóng gói tốt"", ""Giá hơi đắt"", ""kh thích có hạt tiêu""]"
128321,"Cơm, Phở Xào & Miến Xào - Cù Chính Lan",befood,cơm | phở,21.00102997,105.824173,2269.44,2.269,"Số 21 Ngách 3/1 Ngõ 3 Cù Chính Lan, Phường Phương Liệt, Hà Nội",5,4,20000,80000,Cơm Rang | Miến Xào | Phở Xào | Mì Xào | Món Rau | Đồ Uống,08:00-21:30,8,https://media.be.com.vn/bizops/image/b1775fe2-f373-11f0-b63c-1ec8367384f0/original,25,1,"[""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt""]"
116156,Phở Vịt Quay & Bánh Cuốn Cao Bằng - Định Công,befood,bánh cuốn | phở,20.98513985,105.837738,2366.37,2.366,"14 Ngõ 120 Định Công, Phường Phương Liệt, Hà Nội",4,10,6000,340000,Bánh Cuốn Cao Bằng | Bánh Cuốn Chấm | Vịt Quay | Phở - Bún Vịt Quay | Đồ Ăn Vặt,07:00-14:00,8,https://media.be.com.vn/bizops/image/69e41745-6c46-11f0-8b11-e6e7ca75c48c/original,25,7,"[""mình đặt ở trên app là tào Phớ chứ mình không đặt nước đậu. kể cả quán có hết như thế nào cũng phải gọi xác nhận đổi món chứ k dc tự ý như thế ạ., Sai/Thiếu món"", ""Ngon xỉu, Sạch sẽ, Đáng đồng tiền, Đóng gói tốt"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Đáng đồng tiền, Ngon xỉu, Đóng gói tốt, Sạch sẽ"", ""20k mà ít nc đường quá. gọi bánh trứng vàng lòng đào mà thấy k giống ảnh"", ""lần đầu đặt đc 1 cái quán vừa sạch sẽ vưad ngon lại cẩn thận như này chúc nhà hàng làm ăn phá đạt ạ"", ""hình ảnh ko như món, quá tệ""]"
41570,Bánh Cuốn Nóng Hương Thơm - Tràng Tiền,befood,bánh cuốn | bún chả,21.0241909,105.8558273,2372.04,2.372,"15 Tràng Tiền, Tràng Tiền, Hoàn Kiếm, Hà Nội",4.2,54,20000,75000,MENU,06:00-15:00,30,https://media.be.com.vn/bizops/image/31847f21-d9ae-11ed-abee-ba17ff25cc0d/original,12,6,"[""50k một xuất mà ít, Sai/Thiếu món"", ""Ngon xỉu"", ""Sạch sẽ"", ""Giá hơi đắt"", ""Khá ngon"", ""đồ ăn lèo tèo đ đáng tiền bỏ ra cho 50k 1 xuất lèo tèo""]"
20226,Phở Lưu - Phở Bò & Cơm Rang - Tam Trinh,befood,cơm | phở,20.99151039,105.8632278,2375.13,2.375,"185 Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội",4.5,443,8000,65000,"Món Nước | Cơm trắng | Cơm rang | Món chiên, rán | Món xào | Giải khát",05:00-23:59,30,https://media.be.com.vn/be-food/image/61eda57a-f1d1-11ec-9a9e-de6dabbc786c/original,41,7,"[""Sạch sẽ"", ""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Ngon xỉu"", ""Khá ngon"", ""Không hợp khẩu vị"", ""cơm rang dưa bò nhưng đc vài lát dưa,vài miếng thịt bò,quá tệ còn phở xào thì về con m ăn hết rồi nên k biết có như vậy k"", ""thịt vụn, ít nước dùng nhìn mất khẩu vị""]"
21224,Phở Cồ Gia Truyền - Phở Bò & Cơm Rang,befood,cơm | phở,21.00001907,105.8231201,2400.67,2.401,"22 Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội",4.7,174,20000,55000,Phở | Cơm rang - mì | Nước,07:00-22:00,30,https://media.be.com.vn/be-food/image/510d0a76-f6ba-11ec-812c-da4e9217aaad/original,18,5,"[""Sạch sẽ, Đáng đồng tiền, Ngon xỉu, Đóng gói tốt"", ""Ngon xỉu, Đáng đồng tiền"", ""Đóng gói chưa tốt"", ""đồ ăn ko hợp vs tôi"", ""ít thịt lắm í sốp😞""]"
7240,"Cơm Gà, Mì Cay & Mì Trộn Bếp Nhà Cám - Tôn Đức Thắng",befood,cơm | gà rán,21.02137947,105.8302307,2410.81,2.411,"23 Ngõ Quan Thổ 1, Phố Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Hà Nội",4.7,294,9900,77000,CƠM GÀ | Mì cay - tokbokki | Mì trộn - mì ý - nui | Gà rán - Gà sốt | Combo | đồ uống,07:20-18:00,30,https://media.be.com.vn/be-food/image/8ba74cb6-9520-11ec-bcf0-e21aa089b828/original,56,10,"[""đùi gà còn sống luôn , ăn tanh dai lắm shop ạ, Không đảm bảo vệ sinh"", ""Ngon xỉu"", ""Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ"", ""Ngon xỉu, Sạch sẽ"", ""Giá hơi đắt"", ""Không hợp khẩu vị"", ""ăn ổn, cho nhiều cháy quá"", ""ít!"", ""không ngon , như ăn mì tôm thường 😤"", ""mì cay 65k mà lèo tèo vài miếng toàn viên thả lẩu, tok mặn nch chán""]"
20472,"Bánh Cuốn, Bún Chả & Gà Tần - Đền Lừ 2",befood,bánh cuốn | bún chả,20.98712921,105.8587036,2419.45,2.419,"20 Lô 5 Đền Lừ 2, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",4.7,63,35000,95000,Thực Đơn,07:00-22:00,30,https://media.be.com.vn/bizops/image/0a9e5495-e85c-11f0-9063-66448d787802/original,15,9,"[""1 suất đầy đặn, nước mắm tới nơi còn nóng. Tuy nhiên quán không cho quất với ớt nên nước chấm ăn bị hơi ngọt và mặn, Đóng gói tốt, Sạch sẽ"", ""lần đầu tiên order của quán mà bất ngờ vì quán cho nhiều hành phi với chu đáo cho cả mình bát xốp đựng nước chấm >< mình ăn hết kh bỏ cái gì 🫶🏻 nước chấm hơi mặn tẹo nếu quán cho nhạt đi xíu thì quá tuyệt ạ, Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Đáng đồng tiền, Ngon xỉu, Đóng gói tốt, Sạch sẽ"", ""Sạch sẽ, Ngon xỉu, Đóng gói tốt, Đáng đồng tiền"", ""Ngon xỉu"", ""Đóng gói tốt"", ""quán cả 2 lần đều không đọc note. thiếu quất. note trứng chảy mà làm trứng chín ăn làm sao được ?, Không làm đúng ghi chú"", ""hơi ngấy"", ""nước chấm chua""]"
21413,Phở Bò Hải Phòng - Phở Bò & Cơm Rang - Hoàng Mai,befood,cơm | phở,20.98838997,105.8628235,2580.65,2.581,"55 Ngõ 299 Hoàng Mai (Đối Diện 281 Tam Trinh), Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",4.6,393,8000,68000,"MÓN NƯỚC | CƠM TRẮNG | CƠM RANG | MÓN XÀO | Món chiên, rán | Thức Uống",05:00-23:59,30,https://media.be.com.vn/bizops/image/9042e7b3-e847-11f0-9063-66448d787802/original,39,6,"[""Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ"", ""Ngon xỉu, Đóng gói tốt, Sạch sẽ"", ""Ngon xỉu"", ""Đáng đồng tiền, Đóng gói tốt, Ngon xỉu, Sạch sẽ"", ""shop đóng gói bằng túi nilon nhìn ko đảm bảo lắm. vị thì cũng ok, Đóng gói chưa tốt"", ""cơm khô không ăn được, cơm như giang, thì rang cháy cạnh thì toàn mỡ nạc ở đâu?? gà thì đỏ, mình vứt nguyên 3 suất cơm""]"
86219,Phở Bò Thiên Trường - Bún Bò & Cơm Rang - Trương Định,befood,cơm | phở,20.98171043,105.8457031,2602.83,2.603,"565 Trương Định, P.Hoàng Liệt, Hoàng Mai, Hà Nội",4.8,63,15000,70000,Phở Nước | Cơm Rang(Bán từ 10h trưa -23h) | Các Món Xào(Bán từ 10h trưa - 23h ) | Bún,07:30-23:00,30,https://media.be.com.vn/bizops/image/4405f757-f38e-11f0-8695-ce3d3ce291c1/original,19,6,"[""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ"", ""Đóng gói tốt, Sạch sẽ, Đáng đồng tiền, Ngon xỉu"", ""Không làm đúng ghi chú"", ""Đóng gói chưa tốt"", ""Sai/Thiếu món""]"
36034,Bảo An Quán - Bánh Cuốn Phủ Lý - Trương Định,befood,bánh cuốn | bún chả,20.98130989,105.845253,2647.57,2.648,"658 Trương Định, Giáp Bát, Hai Bà Trưng, Hà Nội",4.6,98,15000,60000,bánh cuốn phủ lý bún chả | đồ uống | combo | bún giả cầy | bánh mì sôt vang,07:00-22:59,30,https://media.be.com.vn/bizops/image/03f08483-bafd-11ed-8ba4-ee89cbba1863/original,14,6,"[""đặt bánh cuốn mà ship về bún chả là s ạ, Sai/Thiếu món"", ""Đáng đồng tiền"", ""Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ"", ""Ngon xỉu, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ"", ""ngon quấ. nếu lần sau mua thêm option thêm bún thì mong quán thêm ít nước dùng nữa nha!"", ""ko cho bát thì đựng nước chấm vào đâu? chả nướng cháy nước chấm ko ngon""]"
20129,Dũng Thủy - Phở & Cơm Rang - Tân Mai,befood,cơm | phở,20.98154068,105.8510818,2682.91,2.683,"760 H14 Ngõ 147 Tân Mai, Hoàng Mai, Hà Nội",4.4,80,6000,94000,Siêu Deal Giữa Tháng | MENU,06:00-21:00,30,https://media.be.com.vn/bizops/image/7d8e2ea2-e868-11f0-8b11-e6e7ca75c48c/original,21,2,"[""Đáng đồng tiền, Sạch sẽ, Đóng gói tốt, Ngon xỉu"", ""Khá ngon""]"
16422,Phương Dung - Cơm Đảo Gà Rang & Chim Quay - Tống Duy Tân,befood,cơm | gà rán,21.02922058,105.843399,2689.73,2.69,"24 Tống Duy Tân, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",4.9,378,55000,195000,Cơm Đảo ! | Thức ăn thêm | Chim Quay Gà Tần,00:00-23:59,30,https://media.be.com.vn/bizops/image/3754c0c9-e879-11f0-b84b-3a4f2a37a94e/original,25,8,"[""Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt"", ""Đáng đồng tiền"", ""Ngon xỉu"", ""thiếu cà phái vs dưa chua của mình, Sai/Thiếu món"", ""đưa nhầm 1 suất gà tần"", ""mọi thứ đểu ok điểm trừ hơi mặn nha giảm gia vị lại là ok"", ""chờ 1 phút nhé"", ""ngon""]"
