src_id,relation,dst_id,graph_version
restaurant:7635,HAS_CUISINE,cuisine:PEPSI CỰC ĐÃ - QUÁN CỰC CHẤT,kg_20260602_172448
restaurant:14318,HAS_CUISINE,cuisine:Các món chính,kg_20260602_172448
restaurant:111742,HAS_CUISINE,cuisine:01. CHÁO TƯƠI HÀNG NGÀY (CÓ SET NHÂN),kg_20260602_172448
restaurant:22847,HAS_CUISINE,cuisine:Combo,kg_20260602_172448
restaurant:80180,HAS_CUISINE,cuisine:Cháo,kg_20260602_172448
restaurant:15387,HAS_CUISINE,cuisine:Cơm Đảo,kg_20260602_172448
restaurant:128678,HAS_CUISINE,cuisine:Cơm Tấm Best Seller,kg_20260602_172448
restaurant:7207,HAS_CUISINE,cuisine:Cơm Tấm Sườn Cốt Lết,kg_20260602_172448
restaurant:32487,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:11305,HAS_CUISINE,cuisine:Cơm Suất Đồng Giá,kg_20260602_172448
restaurant:133169,HAS_CUISINE,cuisine:Gà Nguyên Con,kg_20260602_172448
restaurant:13003,HAS_CUISINE,cuisine:Tháng 5 Deal Ngon,kg_20260602_172448
restaurant:31548,HAS_CUISINE,cuisine:Han chicken,kg_20260602_172448
restaurant:111500,HAS_CUISINE,cuisine:Phở,kg_20260602_172448
restaurant:29781,HAS_CUISINE,cuisine:BÁNH MÌ MUỐI ỚT - NƯỚNG SỐT,kg_20260602_172448
restaurant:76300,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:119112,HAS_CUISINE,cuisine:Cơm Rang Theo Mùa - Seasonal Menu,kg_20260602_172448
restaurant:114792,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:17056,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:105958,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:132613,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:34875,HAS_CUISINE,cuisine:Phở Nước,kg_20260602_172448
restaurant:14305,HAS_CUISINE,cuisine:PHỞ ĐẶC BIỆT,kg_20260602_172448
restaurant:91853,HAS_CUISINE,cuisine:Đồ Ăn,kg_20260602_172448
restaurant:11493,HAS_CUISINE,cuisine:BÚN HẢI SẢN HOA QUẢ,kg_20260602_172448
restaurant:22815,HAS_CUISINE,cuisine:COMBO VUI CÙNG COCA-COLA,kg_20260602_172448
restaurant:93168,HAS_CUISINE,cuisine:Bún Trộn Nam Bộ,kg_20260602_172448
restaurant:1108,HAS_CUISINE,cuisine:Combo Cô Tám,kg_20260602_172448
restaurant:40980,HAS_CUISINE,cuisine:Mega Sale - Đồng Giá 67k,kg_20260602_172448
restaurant:95450,HAS_CUISINE,cuisine:Khai Vị,kg_20260602_172448
restaurant:134203,HAS_CUISINE,cuisine:Combo,kg_20260602_172448
restaurant:4486,HAS_CUISINE,cuisine:ƯU ĐÃI HOT,kg_20260602_172448
restaurant:31187,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:8785,HAS_CUISINE,cuisine:GÀ NỬA CON,kg_20260602_172448
restaurant:65884,HAS_CUISINE,cuisine:Cơm,kg_20260602_172448
restaurant:40716,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:58523,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:62280,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:1279,HAS_CUISINE,cuisine:Đồ Ăn,kg_20260602_172448
restaurant:32416,HAS_CUISINE,cuisine:Bánh Đa,kg_20260602_172448
restaurant:39068,HAS_CUISINE,cuisine:Ưu Đãi Delichi,kg_20260602_172448
restaurant:84292,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:32283,HAS_CUISINE,cuisine:THỰC ĐƠN,kg_20260602_172448
restaurant:4397,HAS_CUISINE,cuisine:Ưu Đãi Đặc Biệt.,kg_20260602_172448
restaurant:7920,HAS_CUISINE,cuisine:CƠM RANG Q35,kg_20260602_172448
restaurant:61209,HAS_CUISINE,cuisine:Bánh Tráng,kg_20260602_172448
restaurant:76124,HAS_CUISINE,cuisine:CÁC MÓN CƠM,kg_20260602_172448
restaurant:10227,HAS_CUISINE,cuisine:BÁNH CUỐN,kg_20260602_172448
restaurant:2443,HAS_CUISINE,cuisine:Đồ Ăn Vặt,kg_20260602_172448
restaurant:116044,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:41433,HAS_CUISINE,cuisine:Cơm Rang - Mỳ Phở Xào,kg_20260602_172448
restaurant:16270,HAS_CUISINE,cuisine:Món chính,kg_20260602_172448
restaurant:96492,HAS_CUISINE,cuisine:Bánh Cuốn - Không Kèm Chả,kg_20260602_172448
restaurant:99617,HAS_CUISINE,cuisine:Rau,kg_20260602_172448
restaurant:128372,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:10856,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:134353,HAS_CUISINE,cuisine:Combo,kg_20260602_172448
restaurant:32784,HAS_CUISINE,cuisine:Cùng Coca Cola,kg_20260602_172448
restaurant:95249,HAS_CUISINE,cuisine:Cơm tấm sườn cốt lết,kg_20260602_172448
restaurant:116631,HAS_CUISINE,cuisine:Bún Thái,kg_20260602_172448
restaurant:122272,HAS_CUISINE,cuisine:Cơm Rang - Phở Bò,kg_20260602_172448
restaurant:26075,HAS_CUISINE,cuisine:Món chính,kg_20260602_172448
