id,node_type,name,normalized_name,graph_version,data_version
menu_item:1981351,MenuItem,Phở Xào Cải Bò,phở xào cải bò,kg_20260602_172448,offline
menu_item:1981352,MenuItem,Mỳ Sào Thịt Bò,mỳ sào thịt bò,kg_20260602_172448,offline
menu_item:1981353,MenuItem,Mỳ Sào Cải Bò,mỳ sào cải bò,kg_20260602_172448,offline
menu_item:1981354,MenuItem,Phở Xào Thịt Bò,phở xào thịt bò,kg_20260602_172448,offline
menu_item:5146585,MenuItem,Bánh Tráng Nướng khô bò,bánh tráng nướng khô bò,kg_20260602_172448,offline
menu_item:9153051,MenuItem,bánh tráng nướng ruốc phomai sốt bơ,bánh tráng nướng ruốc phomai sốt bơ,kg_20260602_172448,offline
menu_item:5146587,MenuItem,Bánh Tráng Cuốn Tổng Hợp,bánh tráng cuốn tổng hợp,kg_20260602_172448,offline
menu_item:5146588,MenuItem,Bánh Tráng Cuốn Sốt Me,bánh tráng cuốn sốt me,kg_20260602_172448,offline
menu_item:5146589,MenuItem,Bánh Tráng Cuốn Sốt Me Bơ,bánh tráng cuốn sốt me bơ,kg_20260602_172448,offline
menu_item:5146590,MenuItem,Bánh Tráng Cuốn Sốt Me Mayonnaise,bánh tráng cuốn sốt me mayonnaise,kg_20260602_172448,offline
menu_item:5146591,MenuItem,Bánh Tráng Cuốn Mix Sốt,bánh tráng cuốn mix sốt,kg_20260602_172448,offline
menu_item:5146592,MenuItem,Bánh Tráng Cuốn Phô Mai Ruốc Cay,bánh tráng cuốn phô mai ruốc cay,kg_20260602_172448,offline
menu_item:5146610,MenuItem,Bánh Tráng Cuốn Sốt Me Phomai,bánh tráng cuốn sốt me phomai,kg_20260602_172448,offline
menu_item:5146593,MenuItem,Bánh Tráng Trộn Da Heo,bánh tráng trộn da heo,kg_20260602_172448,offline
menu_item:5146594,MenuItem,Bánh Tráng Trộn Lớn,bánh tráng trộn lớn,kg_20260602_172448,offline
menu_item:5146595,MenuItem,Bánh Tráng Trộn Nhỏ,bánh tráng trộn nhỏ,kg_20260602_172448,offline
menu_item:5146596,MenuItem,Bánh Tráng Trộn Bơ Tỏi,bánh tráng trộn bơ tỏi,kg_20260602_172448,offline
menu_item:5146597,MenuItem,Bánh Tráng trộn Mix Cuốn,bánh tráng trộn mix cuốn,kg_20260602_172448,offline
menu_item:5146598,MenuItem,Trứng Cút Lắc,trứng cút lắc,kg_20260602_172448,offline
menu_item:5146599,MenuItem,Xoài Bò Khô,xoài bò khô,kg_20260602_172448,offline
menu_item:5146600,MenuItem,Nem Chua Rán - 5 Cái,nem chua rán - 5 cái,kg_20260602_172448,offline
menu_item:5146605,MenuItem,Gỏi Xoài,gỏi xoài,kg_20260602_172448,offline
menu_item:5146606,MenuItem,Khoai Lang Kén,khoai lang kén,kg_20260602_172448,offline
menu_item:9153071,MenuItem,da heo Thái Lan,da heo thái lan,kg_20260602_172448,offline
menu_item:10897732,MenuItem,2c bánh mì muối ớt sốt bơ mật ong,2c bánh mì muối ớt sốt bơ mật ong,kg_20260602_172448,offline
menu_item:11070428,MenuItem,bánh tráng lắc khô,bánh tráng lắc khô,kg_20260602_172448,offline
menu_item:11930661,MenuItem,tóp mỡ cay giòn,tóp mỡ cay giòn,kg_20260602_172448,offline
menu_item:6821345,MenuItem,BT phơi sương tép hành,bt phơi sương tép hành,kg_20260602_172448,offline
menu_item:2188277,MenuItem,Bún chả thịt lẫn + Coca ( không bao gồm dụng cụ ăn uống ),bún chả thịt lẫn + coca ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188281,MenuItem,Bún chả thịt miếng + Coca ( không bao gồm dụng cụ ăn uống ),bún chả thịt miếng + coca ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188284,MenuItem,Bún chả thịt băm + Coca (không bao gồm dụng cụ ăn uống ),bún chả thịt băm + coca (không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188280,MenuItem,Bún chả miếng ( không bao gồm dụng cụ ăn uống ),bún chả miếng ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188276,MenuItem,Bún chả băm ( không bao gồm dụng cụ ăn uống ),bún chả băm ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188282,MenuItem,Bún nem ( không bao gồm dụng cụ ăn uống ),bún nem ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:2188278,MenuItem,Bún chả lẫn ( không bao gồm dụng cụ ăn uống ),bún chả lẫn ( không bao gồm dụng cụ ăn uống ),kg_20260602_172448,offline
menu_item:9890402,MenuItem,Bún chả đầy đủ (không bao gồm dụng cụ ăn uống),bún chả đầy đủ (không bao gồm dụng cụ ăn uống),kg_20260602_172448,offline
menu_item:208860,MenuItem,Bún chả lẫn + 1 nem,bún chả lẫn + 1 nem,kg_20260602_172448,offline
menu_item:9922790,MenuItem,Cơm gà chiên sốt cay ngọt,cơm gà chiên sốt cay ngọt,kg_20260602_172448,offline
menu_item:9922791,MenuItem,Cơm đậu hũ sốt thịt bằm,cơm đậu hũ sốt thịt bằm,kg_20260602_172448,offline
menu_item:9922792,MenuItem,Cơm mix sườn cốt lết - trứng ốp la sốt cay ngọt,cơm mix sườn cốt lết - trứng ốp la sốt cay ngọt,kg_20260602_172448,offline
menu_item:9922793,MenuItem,Cơm heo chiên giòn sốt chua ngọt,cơm heo chiên giòn sốt chua ngọt,kg_20260602_172448,offline
menu_item:9922794,MenuItem,Cơm thịt nướng sốt BBQ,cơm thịt nướng sốt bbq,kg_20260602_172448,offline
menu_item:11782413,MenuItem,Cơm Sườn Cốt Lết Nướng Sốt Cay Ngọt,cơm sườn cốt lết nướng sốt cay ngọt,kg_20260602_172448,offline
menu_item:281313,MenuItem,Cơm đảo kim chi sườn - lavie trái cây,cơm đảo kim chi sườn - lavie trái cây,kg_20260602_172448,offline
menu_item:281314,MenuItem,Mỳ ý sốt bò băm,mỳ ý sốt bò băm,kg_20260602_172448,offline
menu_item:281315,MenuItem,Cơm cá thu - coca,cơm cá thu - coca,kg_20260602_172448,offline
menu_item:281316,MenuItem,Cơm gà sốt BBQ - Sprite,cơm gà sốt bbq - sprite,kg_20260602_172448,offline
menu_item:281317,MenuItem,Combo cơm đảo kim chi gà nướng - 1 salad hoa quả - 1 chanh sả bạc hà,combo cơm đảo kim chi gà nướng - 1 salad hoa quả - 1 chanh sả bạc hà,kg_20260602_172448,offline
menu_item:281318,MenuItem,Combo cơm đảo bò - trứng ốp - salad trộn - dâu tằm,combo cơm đảo bò - trứng ốp - salad trộn - dâu tằm,kg_20260602_172448,offline
menu_item:281320,MenuItem,Cơm gà sốt bb - coca,cơm gà sốt bb - coca,kg_20260602_172448,offline
