store_id,category_type,category_value,source_name
2188,menu_category,Grilled Meat,menu_item_from_top5_json
93168,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
93168,google_type,Quán ăn nhẹ,google_maps_unique
93168,foody_category,Quán ăn,foody_hust_places
93168,menu_category,Bún Trộn Nam Bộ,menu_item_from_top5_json
93168,menu_category,Phở Trộn,menu_item_from_top5_json
93168,menu_category,Món Thêm,menu_item_from_top5_json
93168,menu_category,Nước Uống Minh Sơn,menu_item_from_top5_json
93168,menu_category,COMBO,menu_item_from_top5_json
93168,menu_category,Ưu Đãi Mới,menu_item_from_top5_json
42458,primary,Cơm/Cơm tấm,store_from_top5_json
42458,google_type,Nhà hàng thịt gà,google_maps_unique
42458,google_type,Nhà hàng cánh gà,google_maps_unique
42458,google_type,Nhà hàng,google_maps_unique
42458,menu_category,MENU,menu_item_from_top5_json
42458,menu_category,Cùng Coca Cola,menu_item_from_top5_json
25223,primary,Cà Phê/Trà,store_from_top5_json
25223,google_type,Quán cà phê,google_maps_unique
25223,foody_category,Café/Dessert,foody_hust_places
25223,menu_category,Pizza & Pasta,menu_item_from_top5_json
25223,menu_category,Matcha,menu_item_from_top5_json
25223,menu_category,Cà Phê Phin,menu_item_from_top5_json
25223,menu_category,Trà Sữa,menu_item_from_top5_json
25223,menu_category,Trà Trái Cây,menu_item_from_top5_json
25223,menu_category,Món Nóng,menu_item_from_top5_json
25223,menu_category,Frappe,menu_item_from_top5_json
25223,menu_category,Espresso,menu_item_from_top5_json
25223,menu_category,Latte,menu_item_from_top5_json
25223,menu_category,Cold Brew,menu_item_from_top5_json
25223,menu_category,Bánh Mặn,menu_item_from_top5_json
25223,menu_category,Bánh Ngọt,menu_item_from_top5_json
25223,menu_category,Topping,menu_item_from_top5_json
25223,menu_category,Ưu Đãi Sắp Tới,menu_item_from_top5_json
25223,menu_category,A-Mê,menu_item_from_top5_json
28819,primary,Cà Phê/Trà,store_from_top5_json
28819,google_type,Quán cà phê,google_maps_unique
28819,foody_category,CafÃ©/Dessert,foody_hust_places
28819,foody_cuisine,MÃ³n Viá»‡t,foody_hust_places
28819,foody_audience,Cáº·p Ä‘Ã´i,foody_hust_places
28819,foody_audience,NhÃ³m há»™i,foody_hust_places
28819,foody_audience,Giá»›i vÄƒn phÃ²ng,foody_hust_places
28819,menu_category,MÓN MỚI PHẢI THỬ,menu_item_from_top5_json
28819,menu_category,MUA 2 TẶNG 1,menu_item_from_top5_json
28819,menu_category,PHINDI,menu_item_from_top5_json
28819,menu_category,ESPRESSO COFFEE,menu_item_from_top5_json
28819,menu_category,TRADITIONAL COFFEE,menu_item_from_top5_json
28819,menu_category,TEA,menu_item_from_top5_json
28819,menu_category,TRÀ SỮA,menu_item_from_top5_json
28819,menu_category,FREEZE,menu_item_from_top5_json
