store_id,service_option,value,source_name
42458,Bữa trưa,True,google_maps_unique
42458,Bữa tối,True,google_maps_unique
42458,Dịch vụ ăn uống,True,google_maps_unique
42458,Món tráng miệng,True,google_maps_unique
42458,Phục vụ tại bàn,True,google_maps_unique
25223,Ăn_tại_chỗ,True,google_maps_unique
25223,mua_hàng_ngay_trên_xe,True,google_maps_unique
25223,giao_hàng_gián_tiếp,True,google_maps_unique
25223,Bữa sáng,True,google_maps_unique
25223,Dịch vụ ăn uống,True,google_maps_unique
25223,Món tráng miệng,True,google_maps_unique
25223,Chỗ ngồi,True,google_maps_unique
25223,Phục vụ tại bàn,True,google_maps_unique
28819,Ăn_tại_chỗ,True,google_maps_unique
28819,Đồ_ăn_mang_đi,True,google_maps_unique
28819,giao_hàng_gián_tiếp,True,google_maps_unique
28819,Bữa sáng,True,google_maps_unique
28819,Bữa nửa buổi,True,google_maps_unique
28819,Dịch vụ ăn uống,True,google_maps_unique
28819,Món tráng miệng,True,google_maps_unique
28819,Chỗ ngồi,True,google_maps_unique
28819,Phục vụ tại bàn,True,google_maps_unique
78552,Ăn_tại_chỗ,True,google_maps_unique
78552,Đồ_ăn_mang_đi,True,google_maps_unique
9606,Ăn_tại_chỗ,True,google_maps_unique
9606,Dịch vụ ăn uống,True,google_maps_unique
125252,Ăn_tại_chỗ,True,google_maps_unique
125252,mua_hàng_ngay_trên_xe,True,google_maps_unique
125252,giao_hàng_gián_tiếp,True,google_maps_unique
125252,Món tráng miệng,True,google_maps_unique
125252,Chỗ ngồi,True,google_maps_unique
125252,Phục vụ tại bàn,True,google_maps_unique
103271,Ăn_tại_chỗ,True,google_maps_unique
103271,Đồ_ăn_mang_đi,True,google_maps_unique
103271,giao_hàng_gián_tiếp,True,google_maps_unique
103271,Bữa trưa,True,google_maps_unique
103271,Bữa tối,True,google_maps_unique
103271,Dịch vụ ăn uống,True,google_maps_unique
103271,Phục vụ tại bàn,True,google_maps_unique
4633,Ăn_tại_chỗ,True,google_maps_unique
4633,Đồ_ăn_mang_đi,True,google_maps_unique
62733,Ăn_tại_chỗ,True,google_maps_unique
62733,mua_hàng_ngay_trên_xe,True,google_maps_unique
62733,giao_hàng_gián_tiếp,True,google_maps_unique
62733,Dịch vụ ăn uống,True,google_maps_unique
62733,Phục vụ tại bàn,True,google_maps_unique
