store_id,store_key,store_name,rated_at,rating,feedback,source,review_id,name_norm,aspect_scores,sentiment,confidence
128724,128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,,4.9,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",befood_comment,f5c514fa5ee0b2d6,pho-com-hang-nguyen-dinh-chieu,{},neutral,0.0
128724,128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,,4.9,ăn cũng ok nhiều topping nhưng phần đặc biệt lại ko có trứng non?,befood_comment,a0b6632d19436c51,pho-com-hang-nguyen-dinh-chieu,{},neutral,0.0
128724,128724,Phở - Cơm Hằng - Nguyễn Đình Chiểu,,4.9,thiếu trứng cút nhà shop,befood_comment,82bb612a157093f3,pho-com-hang-nguyen-dinh-chieu,{},neutral,0.0
94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,,4.7,"Sạch sẽ, Đóng gói tốt, Ngon xỉu, Đáng đồng tiền",befood_comment,90bf4b4256ce762d,banh-cuon-nong-ga-ac-tan-minh-khai,{},neutral,0.0
94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,,4.7,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",befood_comment,108180174b27fc7a,banh-cuon-nong-ga-ac-tan-minh-khai,{},neutral,0.0
94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,,4.7,Ngon xỉu,befood_comment,c6ba2bab4389fd23,banh-cuon-nong-ga-ac-tan-minh-khai,{},neutral,0.0
94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,,4.7,Đáng đồng tiền,befood_comment,a1e04e46c162547c,banh-cuon-nong-ga-ac-tan-minh-khai,{},neutral,0.0
94161,94161,Bánh Cuốn Nóng & Gà Ác Tần - Minh Khai,,4.7,Không đảm bảo vệ sinh,befood_comment,d2c3670085f4ff00,banh-cuon-nong-ga-ac-tan-minh-khai,{},neutral,0.0
28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,,4.7,"Đáng đồng tiền, Ngon xỉu",befood_comment,ed697290ea2a7085,ga-tan-huyen-anh-pho-xao-com-rang-quynh-mai,{},neutral,0.0
28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,,4.7,Sạch sẽ,befood_comment,b2e2e3f598d35aae,ga-tan-huyen-anh-pho-xao-com-rang-quynh-mai,{},neutral,0.0
28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,,4.7,"Đáng đồng tiền, Đóng gói tốt, Sạch sẽ, Ngon xỉu",befood_comment,5bf5f62cf749dd3b,ga-tan-huyen-anh-pho-xao-com-rang-quynh-mai,{},neutral,0.0
28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,,4.7,"Óc hầm lá ngải quá mặn, cháo tim dai và lá thơm nên để bên ngoài lúc ăn khách tự cho vào sau, Không hợp khẩu vị",befood_comment,7f79d6b012d4205b,ga-tan-huyen-anh-pho-xao-com-rang-quynh-mai,{},neutral,0.0
28837,28837,Gà Tần Huyền Anh - Phở Xào & Cơm Rang - Quỳnh Mai,,4.7,"nấu thế này thực sự khó ăn!, Không hợp khẩu vị",befood_comment,9683b9776379a0e9,ga-tan-huyen-anh-pho-xao-com-rang-quynh-mai,{},neutral,0.0
117760,117760,OK Cơm Gà - Trương Định,,4.7,Không hợp khẩu vị,befood_comment,e6c19832c1bd3767,ok-com-ga-truong-dinh,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,"❤️, Đóng gói tốt",befood_comment,78cf6b2b913bc687,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,"Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt",befood_comment,a8b67f73cc613c9e,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,Đóng gói tốt,befood_comment,1f5d783f5d3a507e,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,Khá ngon,befood_comment,fc3f5e5069707f9f,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,"phở xào quá nhiều mỡ, nếu ít mỡ hoặc ko có mỡ thì sẽ ngon hơn rất nhiều, mình mong quán sẽ giúp kinh nghiệm cho lần sau để những món ăn của quán làm có thể ngon hơn nữa, Khá ngon",befood_comment,97d0e75e928cf661,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,"mình đã ghi chú cho quán cho ít mỡ thôi nhưng khi ăn phở xào quá nhiều mỡ, Không làm đúng ghi chú",befood_comment,cdfc9b9ef0376557,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
33188,33188,Hải Dung - Cơm Rang & Phở Xào - Quỳnh Mai,,4.5,"Nấu như cám lợn, k có lần thứ 2, phở xào toàn nước nát bét",befood_comment,9f8864aa4b489e36,hai-dung-com-rang-pho-xao-quynh-mai,{},neutral,0.0
